trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
82,False,"{'a': 0.5, 'e': 0.44043165450599925}",20,0,-48.82971436466973,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.43604928632153556}",20,11,7.056277099919788,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.43171052342907973}",20,0,-7.245225000578822,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.4274149319487267}",20,4,6.000555920208013,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.4231620823177488}",25,10,-84.32297987255247,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 2}",1
87,False,"{'a': 0.5, 'e': 0.418951549247639}",20,0,1.2451654075231848,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.4147829116815814}",20,0,-38.36266342394207,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.4106557527523455}",25,1,5.208303615768893,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.4065696597405991}",20,0,-29.715521429546495,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.40252422403363597}",20,0,15.37302228756661,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
92,False,"{'a': 0.5, 'e': 0.39851904108451414}",30,23,6.85919923425503,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.3945537103716011}",20,7,-33.37396812415625,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
94,False,"{'a': 0.5, 'e': 0.3906278353585211}",20,5,-29.364182719729236,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
95,False,"{'a': 0.5, 'e': 0.3867410234545012}",20,6,11.57719892047788,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.38289288597511206}",20,0,-18.78953320919187,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
97,False,"{'a': 0.5, 'e': 0.37908303810339883}",20,0,-50.51719005966712,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",1
98,False,"{'a': 0.5, 'e': 0.37531109885139957}",25,19,-8.356020380099814,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.3715766910220457}",20,13,11.02409100140159,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.36787944117144233}",20,13,-47.55363578156316,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 1}",1
101,False,"{'a': 0.5, 'e': 0.3642189795715233}",20,0,8.499483360215805,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.3605949401730783}",20,3,-94.21987398282268,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 2}",1
103,False,"{'a': 0.5, 'e': 0.3570069605691474}",25,12,3.530411946686627,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.35345468195878016}",25,8,-80.361576441242,"{0: 13, 1: 1, 2: 0, 3: 1, 4: 2}",1
105,False,"{'a': 0.5, 'e': 0.3499377491111553}",20,3,-36.08633781360012,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
106,False,"{'a': 0.5, 'e': 0.3464558103300574}",30,4,-20.78518913003191,"{0: 22, 1: 0, 2: 3, 3: 1, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.34300851741870664}",20,3,-16.2622946342429,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.3395955256449391}",35,20,-22.83391377470615,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
109,False,"{'a': 0.5, 'e': 0.33621649370673334}",25,4,-32.29527284466224,"{0: 17, 1: 1, 2: 1, 3: 2, 4: 0}",1
